id,youtube_id,zenodo_id,title,doi,zenodo_link,youtube_link
145,vVF7UZpfW1Q,15202969,The Resurgence of Shakti: Returning to the Divine Mother - talk by Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202969,https://zenodo.org/record/15202969,https://www.youtube.com/watch?v=vVF7UZpfW1Q
146,0o1I7f6aYo8,15202976,What is the difference between Goddess Tripurasundarī of the North and Lalitha Devi of the South?,10.5281/zenodo.15202976,https://zenodo.org/record/15202976,https://www.youtube.com/watch?v=0o1I7f6aYo8
147,Z3qDGTPyrAU,15202978,Goddess Durgā's Triumph in the Hindu Pantheon - Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202978,https://zenodo.org/record/15202978,https://www.youtube.com/watch?v=Z3qDGTPyrAU
148,ujAYZ2dvms0,15202986,Reflections on the Importance of Navaratri - Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202986,https://zenodo.org/record/15202986,https://www.youtube.com/watch?v=ujAYZ2dvms0
149,vVF7UZpfW1Q,15202990,The Resurgence of Shakti: Returning to the Divine Mother - talk by Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15202990,https://zenodo.org/record/15202990,https://www.youtube.com/watch?v=vVF7UZpfW1Q
150,0o1I7f6aYo8,15202995,What is the difference between Goddess Tripurasundarī of the North and Lalitha Devi of the South?,10.5281/zenodo.15202995,https://zenodo.org/record/15202995,https://www.youtube.com/watch?v=0o1I7f6aYo8
151,4j7KXm-ekLs,15202997,Shiva Mahimnah Stotram (with lyrics) -- Devotional Song recited by Acharya Sthaneshwar,10.5281/zenodo.15202997,https://zenodo.org/record/15202997,https://www.youtube.com/watch?v=4j7KXm-ekLs
152,WpDADIrYn0E,15203001,Recalling Kaula Sādhakas' Lifestyle Choices (Sattva cont.) -- Short Answers by Acharya Sthaneshwar,10.5281/zenodo.15203001,https://zenodo.org/record/15203001,https://www.youtube.com/watch?v=WpDADIrYn0E
153,ExYGvtuyUJg,15203003,Meditations on Tripurasundarī - Introduction to A Free Course by Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203003,https://zenodo.org/record/15203003,https://www.youtube.com/watch?v=ExYGvtuyUJg
154,sLG8rxl_Gao,15203005,Worshiping Tantric Deities with Sattva -- Short Answers from Acharya Sthaneshwar,10.5281/zenodo.15203005,https://zenodo.org/record/15203005,https://www.youtube.com/watch?v=sLG8rxl_Gao
155,gncTlhnO8OM,15203007,"Tripurā Morning Prayer, An Original Composition -- recited by Acharya Sthaneshwar (with lyrics)",10.5281/zenodo.15203007,https://zenodo.org/record/15203007,https://www.youtube.com/watch?v=gncTlhnO8OM
156,Z__OWxfYnF4,15203009,"Increasing Sattva for Tantra Practice, How & Why -- Short Answers from Acharya Sthaneshwar",10.5281/zenodo.15203009,https://zenodo.org/record/15203009,https://www.youtube.com/watch?v=Z__OWxfYnF4
157,P1vjs_nxB0U,15203013,The 'Why' Behind Hindu Death Rituals -- Short Answers from Acharya Sthaneshwar,10.5281/zenodo.15203013,https://zenodo.org/record/15203013,https://www.youtube.com/watch?v=P1vjs_nxB0U
158,eBYyl4ETbMg,15203017,On the Foundational Tantric Practice of Phonemes (varṇa nyāsa) - Acharya Sthaneshwar,10.5281/zenodo.15203017,https://zenodo.org/record/15203017,https://www.youtube.com/watch?v=eBYyl4ETbMg
159,Rk0cRzpHXf8,15203021,How many ways do we encounter the deities?  How many ways do we encounter the deities?,10.5281/zenodo.15203021,https://zenodo.org/record/15203021,https://www.youtube.com/watch?v=Rk0cRzpHXf8
160,bTmX6YJewyI,15203023,How many ways do we encounter the deities?,10.5281/zenodo.15203023,https://zenodo.org/record/15203023,https://www.youtube.com/watch?v=bTmX6YJewyI
161,AT6oWZCwQGw,15203025,What Is the law of asking and learning...?For more information please do follow @vimarshafoundation,10.5281/zenodo.15203025,https://zenodo.org/record/15203025,https://www.youtube.com/watch?v=AT6oWZCwQGw
162,B7gTFsxq3lI,15203029,How can we do yoga when performing daily activities ..Follow @vimarshafoundation for more knowledge.,10.5281/zenodo.15203029,https://zenodo.org/record/15203029,https://www.youtube.com/watch?v=B7gTFsxq3lI
163,YSptlMeJDjk,15203154,Tantric Practice  : What it is & What it is not | Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203154,https://zenodo.org/record/15203154,https://www.youtube.com/watch?v=YSptlMeJDjk
164,Lvk09kOPJ9A,15203178,What is Liberation? – Ācārya Sthaneshwar Timalsina,10.5281/zenodo.15203178,https://zenodo.org/record/15203178,https://www.youtube.com/watch?v=Lvk09kOPJ9A
165,mZoKtSwyfsc,15203182,On the Validity of Mystical Experiences – Ācārya Sthaneshwar Timalsina,10.5281/zenodo.15203182,https://zenodo.org/record/15203182,https://www.youtube.com/watch?v=mZoKtSwyfsc
166,NZaq7V5gPG0,15203188,What is Tantra? – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203188,https://zenodo.org/record/15203188,https://www.youtube.com/watch?v=NZaq7V5gPG0
167,IMqqy6E7v5E,15203190,Cultivate the Heart of a Sādhaka – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203190,https://zenodo.org/record/15203190,https://www.youtube.com/watch?v=IMqqy6E7v5E
168,soelNDHdhu4,15203196,Śiva Embraces the Totality Without Negating the Parts – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203196,https://zenodo.org/record/15203196,https://www.youtube.com/watch?v=soelNDHdhu4
169,6BuZh5RKsoc,15203199,Commodification of Tantra in the West – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203199,https://zenodo.org/record/15203199,https://www.youtube.com/watch?v=6BuZh5RKsoc
170,Scrrhc__ELk,15203206,What is the process for becoming Acharya? | What is the importance of Deeksha? | Vimarsha foundaton,10.5281/zenodo.15203206,https://zenodo.org/record/15203206,https://www.youtube.com/watch?v=Scrrhc__ELk
171,LOUms7gd3tU,15203212,Mantra and Pulsation – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203212,https://zenodo.org/record/15203212,https://www.youtube.com/watch?v=LOUms7gd3tU
172,uYT6fTTjlFE,15203214,Why is there plurality? - Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203214,https://zenodo.org/record/15203214,https://www.youtube.com/watch?v=uYT6fTTjlFE
173,h3NgubLUHFA,15203217,Are Vedas & Tantra really opposite? – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203217,https://zenodo.org/record/15203217,https://www.youtube.com/watch?v=h3NgubLUHFA
174,GjcpT3LzEwM,15203219,Tantra in Everyday Practice – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203219,https://zenodo.org/record/15203219,https://www.youtube.com/watch?v=GjcpT3LzEwM
175,vSnKCHVVV6s,15203221,How do I know which path is right for me? - Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203221,https://zenodo.org/record/15203221,https://www.youtube.com/watch?v=vSnKCHVVV6s
176,XNKr8ARl58E,15203225,How do we make the foundation of our sadhana solid? - Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203225,https://zenodo.org/record/15203225,https://www.youtube.com/watch?v=XNKr8ARl58E
177,JodXRVFs8WU,15203231,What is the reason behind the Mātrika and Mālinī orders? – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203231,https://zenodo.org/record/15203231,https://www.youtube.com/watch?v=JodXRVFs8WU
178,mktL5PM7daE,15203235,Misconceptions About Tantra – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203235,https://zenodo.org/record/15203235,https://www.youtube.com/watch?v=mktL5PM7daE
179,L31KqQeSXRw,15203239,What is Sadhana? - Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203239,https://zenodo.org/record/15203239,https://www.youtube.com/watch?v=L31KqQeSXRw
180,S1slYnL7f48,15203249,What is Svabhāva; inherent nature? – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203249,https://zenodo.org/record/15203249,https://www.youtube.com/watch?v=S1slYnL7f48
181,LNDCMcl3qoM,15203253,Avoiding sloppiness in everyday Tantra practice – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203253,https://zenodo.org/record/15203253,https://www.youtube.com/watch?v=LNDCMcl3qoM
182,duod9cSI-54,15203255,What is the subtle body? – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203255,https://zenodo.org/record/15203255,https://www.youtube.com/watch?v=duod9cSI-54
183,a-9lwKrc1Fw,15203257,Suggestion to Beginners on the Path of Tantra – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203257,https://zenodo.org/record/15203257,https://www.youtube.com/watch?v=a-9lwKrc1Fw
184,njX7p4PoSok,15203259,What is mantra? (1.) – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203259,https://zenodo.org/record/15203259,https://www.youtube.com/watch?v=njX7p4PoSok
185,2le2wWHEczA,15203264,God and the Brahman (a Talk on Western Culture and Advaita) - Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203264,https://zenodo.org/record/15203264,https://www.youtube.com/watch?v=2le2wWHEczA
186,HPKjgY9MVaE,15203273,The Philosophy of Gestures (Mudrās) – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203273,https://zenodo.org/record/15203273,https://www.youtube.com/watch?v=HPKjgY9MVaE
187,xCe_hhuLZxI,15203275,Google is not a Guru – Learn from a real teacher – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203275,https://zenodo.org/record/15203275,https://www.youtube.com/watch?v=xCe_hhuLZxI
188,ezo6myQ1C0M,15203284,Three types of suffering – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203284,https://zenodo.org/record/15203284,https://www.youtube.com/watch?v=ezo6myQ1C0M
189,QcMwhJS1vSs,15203288,What are āgamas? – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203288,https://zenodo.org/record/15203288,https://www.youtube.com/watch?v=QcMwhJS1vSs
190,rZmqLmg0iO8,15203290,Quintessence of Trika Philosophy: A Free Course on Virūpākṣapañcāśikā - Ācārya Sthaneshwar Timalsina,10.5281/zenodo.15203290,https://zenodo.org/record/15203290,https://www.youtube.com/watch?v=rZmqLmg0iO8
191,hTbWNw3rzxQ,15203294,The Śākta way: acknowledge the waves & the tides – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203294,https://zenodo.org/record/15203294,https://www.youtube.com/watch?v=hTbWNw3rzxQ
192,sVXeKbz3wwg,15203298,Tantra vs. Vedānta – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203298,https://zenodo.org/record/15203298,https://www.youtube.com/watch?v=sVXeKbz3wwg
193,Hnd9w_VVJ14,15203304,The state-consciousness in imagination – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203304,https://zenodo.org/record/15203304,https://www.youtube.com/watch?v=Hnd9w_VVJ14
194,HLEFZ41uq8E,15203308,Kali Krama Maharatha Lecture – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203308,https://zenodo.org/record/15203308,https://www.youtube.com/watch?v=HLEFZ41uq8E
